sampleID	read
NA12877_R1_10k	/scratch/er01/cl9310/bio-test-datasets/fastq/NA12877_R1_10k.fq.gz
NA12877_R2_10k	/scratch/er01/cl9310/bio-test-datasets/fastq/NA12877_R2_10k.fq.gz
